Time,TP,Total_Bits,Total_Packets,Packet_Sizes,Packet_Times,IPGs
0,0.0,0,0,[],[],[]
1,0.0,0,0,[],[],[]
2,0.0,0,0,[],[],[]
3,0.0,0,0,[],[],[]
4,0.0,0,0,[],[],[]
5,0.0,0,0,[],[],[]
6,0.0,0,0,[],[],[]
7,90936.0,90936,27,"[1278, 1278, 650, 54, 120, 57, 53, 1278, 370, 53, 53, 1278, 650, 54, 120, 57, 53, 53, 53, 1278, 1278, 650, 54, 311, 57, 120, 57]","[1654008742.8014, 1654008742.890592, 1654008742.895811, 1654008742.895868, 1654008742.931524, 1654008742.943351, 1654008742.943439, 1654008743.037687, 1654008743.057876, 1654008743.058084, 1654008743.130599, 1654008743.130643, 1654008743.130661, 1654008743.130672, 1654008743.187428, 1654008743.187645, 1654008743.196012, 1654008743.201358, 1654008743.201418, 1654008743.207761, 1654008743.286052, 1654008743.286209, 1654008743.286279, 1654008743.318274, 1654008743.339057, 1654008743.343366, 1654008743.349387]","[0, 0.089192, 0.005219, 5.7e-05, 0.035656, 0.011827, 8.8e-05, 0.094248, 0.020189, 0.000208, 0.072515, 4.4e-05, 1.8e-05, 1.1e-05, 0.056756, 0.000217, 0.008367, 0.005346, 6e-05, 0.006343, 0.078291, 0.000157, 7e-05, 0.031995, 0.020783, 0.004309, 0.006021]"
8,9248.0,9248,4,"[53, 997, 53, 53]","[1654008743.373403, 1654008743.459255, 1654008743.463995, 1654008743.51469]","[0.024016, 0.085852, 0.00474, 0.050695]"
9,0.0,0,0,[],[],[]
10,0.0,0,0,[],[],[]
11,4200.0,4200,6,"[55, 53, 53, 116, 195, 53]","[1654008746.408828, 1654008746.419263, 1654008746.42539, 1654008746.545694, 1654008746.545817, 1654008746.607716]","[2.894138, 0.010435, 0.006127, 0.120304, 0.000123, 0.061899]"
12,0.0,0,0,[],[],[]
13,0.0,0,0,[],[],[]
14,6472.0,6472,10,"[55, 53, 53, 53, 53, 53, 53, 116, 267, 53]","[1654008749.61561, 1654008749.61573, 1654008749.621192, 1654008749.627232, 1654008749.627359, 1654008749.627407, 1654008749.653505, 1654008749.76332, 1654008749.763731, 1654008749.833613]","[3.007894, 0.00012, 0.005462, 0.00604, 0.000127, 4.8e-05, 0.026098, 0.109815, 0.000411, 0.069882]"
15,0.0,0,0,[],[],[]
16,3888.0,3888,5,"[55, 53, 203, 122, 53]","[1654008751.747919, 1654008751.777604, 1654008751.813607, 1654008751.813719, 1654008751.877676]","[1.914306, 0.029685, 0.036003, 0.000112, 0.063957]"
17,0.0,0,0,[],[],[]
18,0.0,0,0,[],[],[]
19,0.0,0,0,[],[],[]
20,0.0,0,0,[],[],[]
21,0.0,0,0,[],[],[]
22,0.0,0,0,[],[],[]
23,0.0,0,0,[],[],[]
24,0.0,0,0,[],[],[]
25,0.0,0,0,[],[],[]
26,0.0,0,0,[],[],[]
27,2056.0,2056,4,"[55, 96, 53, 53]","[1654008762.593765, 1654008762.704628, 1654008762.709314, 1654008762.783458]","[10.716089, 0.110863, 0.004686, 0.074144]"
28,0.0,0,0,[],[],[]
29,0.0,0,0,[],[],[]
30,7512.0,7512,11,"[55, 53, 53, 53, 116, 299, 53, 55, 96, 53, 53]","[1654008765.578923, 1654008765.590118, 1654008765.590754, 1654008765.614575, 1654008765.706645, 1654008765.707299, 1654008765.764795, 1654008765.769365, 1654008765.881763, 1654008765.887349, 1654008765.947693]","[2.795465, 0.011195, 0.000636, 0.023821, 0.09207, 0.000654, 0.057496, 0.00457, 0.112398, 0.005586, 0.060344]"
31,0.0,0,0,[],[],[]
32,34872.0,34872,18,"[55, 55, 94, 53, 65, 53, 53, 53, 53, 1278, 1278, 650, 54, 53, 283, 53, 121, 55]","[1654008767.40896, 1654008767.409123, 1654008767.419645, 1654008767.419773, 1654008767.419882, 1654008767.419991, 1654008767.420099, 1654008767.425475, 1654008767.549659, 1654008767.67209, 1654008767.71013, 1654008767.710305, 1654008767.710431, 1654008767.710522, 1654008767.727922, 1654008767.72875, 1654008767.815566, 1654008767.815795]","[1.461267, 0.000163, 0.010522, 0.000128, 0.000109, 0.000109, 0.000108, 0.005376, 0.124184, 0.122431, 0.03804, 0.000175, 0.000126, 9.1e-05, 0.0174, 0.000828, 0.086816, 0.000229]"
33,0.0,0,0,[],[],[]
34,0.0,0,0,[],[],[]
35,0.0,0,0,[],[],[]
36,4552.0,4552,9,"[57, 53, 96, 53, 55, 53, 96, 53, 53]","[1654008771.84343, 1654008771.843659, 1654008771.89969, 1654008771.899923, 1654008771.943451, 1654008772.041325, 1654008772.157505, 1654008772.157808, 1654008772.289424]","[4.027635, 0.000229, 0.056031, 0.000233, 0.043528, 0.097874, 0.11618, 0.000303, 0.131616]"
37,2040.0,2040,4,"[55, 94, 53, 53]","[1654008773.006916, 1654008773.087888, 1654008773.088283, 1654008773.237642]","[0.717492, 0.080972, 0.000395, 0.149359]"
38,0.0,0,0,[],[],[]
39,0.0,0,0,[],[],[]
40,0.0,0,0,[],[],[]
41,0.0,0,0,[],[],[]
42,0.0,0,0,[],[],[]
43,0.0,0,0,[],[],[]
44,0.0,0,0,[],[],[]
45,0.0,0,0,[],[],[]
46,4032.0,4032,6,"[55, 53, 53, 127, 163, 53]","[1654008781.858889, 1654008781.859594, 1654008781.859735, 1654008781.920482, 1654008781.920607, 1654008781.985868]","[8.621247, 0.000705, 0.000141, 0.060747, 0.000125, 0.065261]"
47,2040.0,2040,4,"[55, 94, 53, 53]","[1654008782.964593, 1654008783.025745, 1654008783.031303, 1654008783.084951]","[0.978725, 0.061152, 0.005558, 0.053648]"
48,0.0,0,0,[],[],[]
49,0.0,0,0,[],[],[]
50,0.0,0,0,[],[],[]
51,0.0,0,0,[],[],[]
52,0.0,0,0,[],[],[]
53,0.0,0,0,[],[],[]
54,0.0,0,0,[],[],[]
55,0.0,0,0,[],[],[]
56,0.0,0,0,[],[],[]
57,2040.0,2040,4,"[55, 94, 53, 53]","[1654008793.001957, 1654008793.050427, 1654008793.051206, 1654008793.123896]","[9.917006, 0.04847, 0.000779, 0.07269]"
58,0.0,0,0,[],[],[]
59,0.0,0,0,[],[],[]
60,0.0,0,0,[],[],[]
61,0.0,0,0,[],[],[]
62,0.0,0,0,[],[],[]
63,0.0,0,0,[],[],[]
64,0.0,0,0,[],[],[]
65,36520.0,36520,9,"[1278, 1278, 650, 54, 120, 57, 1022, 53, 53]","[1654008800.63897, 1654008800.728262, 1654008800.733539, 1654008800.733688, 1654008800.769075, 1654008800.779846, 1654008800.888603, 1654008800.893166, 1654008800.937871]","[7.515074, 0.089292, 0.005277, 0.000149, 0.035387, 0.010771, 0.108757, 0.004563, 0.044705]"
66,0.0,0,0,[],[],[]
67,0.0,0,0,[],[],[]
68,0.0,0,0,[],[],[]
69,0.0,0,0,[],[],[]
70,0.0,0,0,[],[],[]
71,0.0,0,0,[],[],[]
72,0.0,0,0,[],[],[]
73,0.0,0,0,[],[],[]
74,0.0,0,0,[],[],[]
75,0.0,0,0,[],[],[]
76,4520.0,4520,9,"[56, 96, 53, 54, 54, 55, 53, 91, 53]","[1654008812.109283, 1654008812.133544, 1654008812.133649, 1654008812.151499, 1654008812.193399, 1654008812.211715, 1654008812.327648, 1654008812.335636, 1654008812.34146]","[11.171412, 0.024261, 0.000105, 0.01785, 0.0419, 0.018316, 0.115933, 0.007988, 0.005824]"
77,848.0,848,2,"[53, 53]","[1654008812.383634, 1654008812.459721]","[0.042174, 0.076087]"
78,0.0,0,0,[],[],[]
79,0.0,0,0,[],[],[]
80,0.0,0,0,[],[],[]
81,0.0,0,0,[],[],[]
82,0.0,0,0,[],[],[]
83,0.0,0,0,[],[],[]
84,0.0,0,0,[],[],[]
85,0.0,0,0,[],[],[]
86,0.0,0,0,[],[],[]
87,0.0,0,0,[],[],[]
88,0.0,0,0,[],[],[]
89,0.0,0,0,[],[],[]
90,0.0,0,0,[],[],[]
91,0.0,0,0,[],[],[]
92,0.0,0,0,[],[],[]
93,0.0,0,0,[],[],[]
94,0.0,0,0,[],[],[]
95,0.0,0,0,[],[],[]
96,0.0,0,0,[],[],[]
97,2480.0,2480,5,"[56, 94, 53, 53, 54]","[1654008833.115363, 1654008833.163351, 1654008833.163456, 1654008833.201247, 1654008833.269273]","[20.655642, 0.047988, 0.000105, 0.037791, 0.068026]"
